REGION;COMUNA;Destino;TipoVehiculo;Catalitico;NoCatalitico
3;3304;1.0;8.0;43.0;1.0
3;3304;1.0;9.0;0.0;0.0
3;3304;2.0;1.0;38.0;0.0
3;3304;2.0;2.0;12.0;0.0
3;3304;2.0;3.0;3.0;0.0
3;3304;2.0;4.0;67.0;0.0
3;3304;2.0;5.0;2.0;0.0
3;3304;2.0;6.0;0.0;0.0
3;3304;2.0;7.0;102.0;1.0
3;3304;2.0;8.0;0.0;0.0
3;3304;2.0;9.0;0.0;0.0
3;3304;3.0;1.0;613.0;94.0
3;3304;3.0;2.0;1684.0;371.0
3;3304;3.0;3.0;0.0;0.0
3;3304;3.0;4.0;0.0;0.0
3;3304;3.0;5.0;0.0;1.0
3;3304;3.0;6.0;71.0;9.0
3;3304;3.0;7.0;0.0;0.0
4;4101;1.0;1.0;31307.0;1374.0
4;4101;1.0;2.0;15363.0;261.0
4;4101;1.0;3.0;1285.0;226.0
4;4101;1.0;4.0;1606.0;91.0
4;4101;1.0;5.0;26.0;5.0
4;4101;1.0;6.0;223.0;12.0
4;4101;1.0;7.0;12547.0;769.0
4;4101;1.0;8.0;2764.0;25.0
4;4101;1.0;9.0;0.0;0.0
4;4101;2.0;1.0;239.0;0.0
4;4101;2.0;2.0;1706.0;0.0
4;4101;2.0;3.0;114.0;0.0
4;4101;2.0;4.0;323.0;0.0
4;4101;2.0;5.0;154.0;0.0
4;4101;2.0;6.0;4.0;0.0
4;4101;2.0;7.0;653.0;16.0
4;4101;2.0;8.0;0.0;0.0
4;4101;2.0;9.0;0.0;0.0
4;4101;3.0;1.0;1771.0;152.0
4;4101;3.0;2.0;203.0;11.0
4;4101;3.0;3.0;0.0;0.0
4;4101;3.0;4.0;0.0;0.0
4;4101;3.0;5.0;37.0;10.0
4;4101;3.0;6.0;238.0;3.0
4;4101;3.0;7.0;0.0;0.0
4;4102;1.0;1.0;24258.0;1085.0
4;4102;1.0;2.0;9545.0;194.0
